ID,Crop type,Water treatment,Fertiliser treatment,Total fresh weight (g),Head fresh weight (g)
4A16,Broccoli,W+,N-,2195.0,1140.0
4A20,Broccoli,W+,N-,2483.3,1122.3
4A22,Broccoli,W+,N-,1909.8,864.5
4A23,Broccoli,W+,N-,1391.7,457.1
4A25,Broccoli,W+,N-,2374.5,1077.3
4A27,Broccoli,W+,N-,2700.2,1287.0
4A29,Broccoli,W+,N-,2119.6,925.2
4A30,Broccoli,W+,N-,2375.6,1193.3
4A32,Broccoli,W+,N-,2524.6,1090.3
4A35,Broccoli,W+,N+,2708.2,1304.4
4A37,Broccoli,W+,N+,2971.6,1250.6
4A38,Broccoli,W+,N+,2145.2,874.0
4A40,Broccoli,W+,N+,1959.9,777.2
4A41,Broccoli,W+,N+,2237.1,1096.4
4A42,Broccoli,W+,N+,2068.3,973.2
4A43,Broccoli,W+,N+,2020.1,930.9
4A44,Broccoli,W+,N+,1663.7,764.5
4A47,Broccoli,W+,N+,2581.6,1181.3
4A51,Broccoli,W+,N+,2263.0,1145.9
4A55,Broccoli,W+,N+,2174.8,958.0
4A58,Broccoli,W+,N+,2478.9,1095.6
4A60,Broccoli,W+,N+,2644.1,1285.4
4A62,Broccoli,W+,N+,1485.4,555.8
4A65,Broccoli,W+,N+,2186.0,841.6
4A66,Broccoli,W+,N+,2390.0,1087.5
4A68,Broccoli,W+,N+,1409.4,270.2
4A73,Broccoli,W-,N+,1445.8,628.3
4A74,Broccoli,W-,N+,1607.9,690.6
4A75,Broccoli,W-,N+,1737.5,774.9
4A76,Broccoli,W-,N+,1421.6,583.0
4A80,Broccoli,W-,N+,1772.1,815.8
4A81,Broccoli,W-,N+,1504.8,662.1
4A84,Broccoli,W-,N+,1877.5,704.8
4A86,Broccoli,W-,N+,1737.0,747.5
4A89,Broccoli,W-,N+,1105.1,373.2
4A90,Broccoli,W-,N+,1471.2,661.2
4A91,Broccoli,W-,N+,1558.4,702.8
4A95,Broccoli,W-,N+,1451.5,657.2
4A98,Broccoli,W-,N+,1469.0,533.9
4A99,Broccoli,W-,N+,2089.6,974.8
4A101,Broccoli,W-,N+,2000.1,858.9
4A102,Broccoli,W-,N+,554.5,184.8
4A105,Broccoli,W-,N+,1475.5,609.7
4A106,Broccoli,W-,N-,1665.8,587.7
4A107,Broccoli,W-,N-,1014.5,324.8
4A108,Broccoli,W-,N-,1044.6,350.5
4A109,Broccoli,W-,N-,1842.0,749.5
4A111,Broccoli,W-,N-,2317.8,888.2
4A113,Broccoli,W-,N-,1985.8,792.8
4A115,Broccoli,W-,N-,1694.7,746.0
4A116,Broccoli,W-,N-,1781.4,737.8
4A123,Broccoli,W-,N-,1737.4,836.0
4A124,Broccoli,W-,N-,1682.9,549.1
4A128,Broccoli,W-,N-,718.9,88.5
4A131,Broccoli,W-,N-,1271.3,244.7
4A132,Broccoli,W-,N-,823.7,44.2
4A133,Broccoli,W-,N-,1576.0,583.1
4A135,Broccoli,W-,N-,1074.7,305.1
4A136,Broccoli,W-,N-,1651.2,346.6
4A138,Broccoli,W-,N-,1372.9,409.1
4A140,Broccoli,W-,N-,1508.3,416.9
4A141,Broccoli,W-,N-,1511.9,629.3
4A144,Broccoli,W-,N-,2320.7,849.4
4A145,Broccoli,W-,N-,959.0,127.1
